 x, y, z
-11960, -4000, 07552
-12056, -4168, 07544
-12248, -4200, 07504
-12072, -4200, 07504
-12208, -4336, 07792
-11944, -4136, 07296
-12288, -4112, 07472
-12040, -4240, 07528
-12232, -4072, 07608
-11952, -4056, 07792
-12104, -4088, 07432
-12104, -4176, 07440
-12096, -4136, 07648
-12136, -4104, 07408
-12120, -4112, 07664
-12080, -4064, 07408
-12320, -4248, 07352
-12208, -4352, 07856
-12008, -4192, 07360
-12176, -3968, 07392
-12080, -4144, 07480
-12128, -4224, 07392
-12152, -4304, 07560
-12160, -4112, 07176
-12056, -4176, 07648
-12104, -4248, 07456
-12056, -4200, 07448
-12328, -4128, 06840
-11936, -3984, 07392
-12216, -4160, 07440
-12304, -4216, 07272
-11904, -4216, 07392
-12272, -4168, 07320
-12200, -4160, 07256
-12024, -4104, 07128
-12328, -4120, 07600
-12232, -4272, 07432
-11680, -4008, 06936
-12120, -4136, 07448
-12040, -4144, 07552
-12056, -4120, 07336
-12176, -4336, 07536
-12176, -4136, 07104
-12376, -4184, 07616
-12256, -4384, 07600
-12024, -4120, 07272
-12056, -4144, 07408
-12232, -4352, 07224
-12232, -4256, 07336
-12120, -4136, 07720
-12088, -4280, 07608
-12072, -4208, 07536
-12104, -4104, 07576
-12032, -4016, 07488
-12208, -4224, 07472
-12328, -4128, 07768
-12160, -4176, 07304
-12024, -4048, 07704
-12128, -4224, 07632
-11888, -4136, 07440
-12104, -4072, 07496
-11968, -4152, 07472
-12264, -4112, 07768
-12120, -4080, 07552
-12056, -4264, 07536
-12136, -4072, 07504
-12144, -4040, 07784
-12128, -4056, 07800
-11952, -4128, 06984
-12088, -4136, 07680
-12128, -4160, 07424
-12120, -4112, 07592
-11952, -4080, 07664
-12080, -4152, 07544
-12088, -4168, 07568
-12104, -4144, 07752
-12216, -4192, 07824
-12032, -4224, 07592
-12016, -4128, 07480
-12056, -4056, 07616
-12096, -4160, 07784
-12232, -4272, 07600
-12064, -4112, 07544
-12056, -4112, 07392
-12176, -3984, 07816
-12224, -4192, 07552
-12032, -4176, 07488
-12224, -4224, 07680
-12040, -4072, 07648
-12160, -4112, 07576
