13,00302,06,-0010,-0034
-14118,00205,05664,00003,-0002,-0029
-14112,00212,05689,00001,00006,-0028
-14109,00226,05716,00003,00012,-0024
-14099,00241,05734,00001,00014,-0027
-14090,00254,05727,00001,00016,-0026
-14083,00271,05720,00001,00020,-0026
-14084,00280,05716,00001,00028,-0026
-14082,00293,05706,00001,00030,-0022
-14087,00298,05697,-0001,00026,-0018
-14093,00314,05683,-0002,00018,-0016
-14093,00319,05678,-0001,00014,-0014
-14088,00331,05678,-0003,00016,-0012
-14079,00334,05677,-0007,00018,-0010
-14069,00333,05683,-0006,00022,-0009
-14061,00332,05687,-0007,00024,-0010
-14052,00328,05681,-0008,00016,-0009
-14050,00321,05670,-0012,00012,-0012
-14049,00316,05669,-0013,00010,-0015
-14047,00305,05673,-0014,00010,-0018
-14043,00301,05685,-0017,00014,-0021
-14042,00292,05692,-0017,00014,-0022
-14046,00285,05693,-0020,00012,-0024
-14045,00272,05703,-0018,00016,-0024
-14047,00266,05709,-0020,00010,-0023
-14055,00259,05718,-0019,00010,-0023
-14061,00249,05717,-0018,00006,-0023
-14071,00249,05723,-0018,00006,-0025
-14078,00248,05729,-0018,00004,-0025
-14089,00254,05741,-0016,00006,-0025
-14103,00253,05740,-0014,00004,-0023
-14110,00264,05730,-0015,00004,-0022
-14116,00270,05720,-0015,00002,-0022
-14123,00276,05714,-0014,-0002,-0025
-14128,00285,05719,-0015,-0002,-0022
-14133,00283,05719,-0017,-0002,-0023
-14130,00286,05722,-0013,00000,-0021
-14126,00295,05717,-0017,00002,-0022
-14121,00299,05713,-0015,00008,-0019
-14113,00298,05711,-0015,00010,-0018
-14107,00303,05708,-0013,00012,-0020
-14095,00310,05701,-0016,00016,-0017
-14087,00311,05707,-0016,00022,-0017
-14079,00310,05707,-0019,00024,-0015
-14072,00309,05701,-0019,00026,-0015
-14060,00304,05703,-0018,00030,-0016
-14050,00302,05695,-0019,00030,-0013
-14039,00298,05694,-0019,00030,-0013
-14034,00298,05690,-0018,00032,-0015
-14033,00298,05692,-0017,00034,-0013
-14033,00289,05687,-0019,00036,-0012
-14030,00286,05687,-0019,00040,-0009
-14032,00279,05694,-0018,00040,-0011
-14039,00272,05692,-0018,00042,-0010
-14050,00269,05679,-0021,00042,-0012
-14056,00267,05676,-0019,00042,-0013
-14066,00270,05668,-0019,00040,-0013
-14073,00267,05664,-0016,00034,-0013
-14078,00268,05666,-0015,00034,-0016
-14082,00270,05662,-0016,00036,-0014
-14092,00267,05662,-0013,00032,-0014
-14093,00266,05660,-0016,00034,-0016
-14095,00268,05653,-0019,00032,-0014
-14095,00272,05650,-0020,00032,-0015
-14097,00275,05654,-0020,00032,-0013
-14103,00276,05659,-0018,00030,-0014
-14104,00278,05648,-0021,00028,-0016
-14101,00283,05654,-0018,00028,-0014
-14095,00288,05656,-0019,00028,-0012
-14093,00289,05660,-0019,00028,-0013
-14098,00288,05671,-0019,00026,-0012
-14092,00292,05669,-0015,00030,-0011
-14095,00300,05669,-0018,00032,-0012
-14094,00303,05671,-0018,00034,-0011
-14086,00303,05672,-0018,00036,-0012
-14083,00304,05679,-0017,00034,-0012
-14087,00300,05674,-0018,00036,-0014
-14088,00299,05675,-0020,00038,-0015
-14086,00296,05676,-0019,00040,-0014
-14088,00295,05673,-0018,00042,-0016
-14081,00290,05673,-0018,00040,-0015
-14083,00288,05665,-0015,00042,-0016
-14079,00284,05664,-0018,00038,-0015
-14081,00286,05669,-0017,00038,-0019
-14080,00288,05673,-0017,00034,-0018
-14080,00287,05673,-0015,00032,-0021
-14089,00282,05669,-0017,00032,-0021
-14096,00283,05673,-0016,00030,-0019
-14096,00287,05671,-0016,00024,-0020
-14097,00290,05665,-0014,00020,-0022
-14100,00293,05669,-0012,00018,-0022
-14103,00296,05676,-0011,00012,-0020
-14104,00304,05680,-0011,00004,-0024
-14105,00308,05674,-0008,00000,-0020
-14109,00314,05670,-0008,-0002,-0025
-14115,00319,05655,-0008,00004,-0021
-14120,00327,05635,-0008,00010,-0023
-14131,00331,05623,-0007,00018,-0024
-14136,00336,05629,-0008,00020,-0023
-14137,00335,05657,-0005,00018,-0024
-14134,00336,05700,-0007,00014,-0023
-14121,00328,05737,-0004,00014,-0024
-14098,00322,05758,-0008,00020,-0022
-14074,00314,05747,-0010,00042,-0019
-14054,00306,05711,-0011,00066,-0019
-14046,00307,05631,-0007,00084,-0019
-14051,00309,05545,-0002,00086,-0017
-14063,00299,05519,-0004,00084,-0015
-14066,00301,05536,-0003,00082,-0014
-14058,00309,05568,00001,00078,-0015
-14045,00321,05607,-0002,00068,-0010
-14032,00335,05631,-0010,00052,-0008
-14027,00350,05654,-0012,00044,-0006
-14028,00363,05660,-0018,00032,-0008
-14037,00362,05655,-0025,00012,-0006
-14051,00348,05658,-0025,00002,-0013
-14073,00326,05683,-0022,00004,-0017
-14093,00302,05708,-0023,00012,-0021
-14115,00278,05725,-0027,00020,-0025
-14133,00268,05739,-0024,00018,-0027
-14150,00264,05740,-0025,00012,-0029
-14172,00265,05720,-0024,00010,-0030
-14198,00281,05696,-0027,-0002,-0027
-14218,00296,05666,-0028,-0012,-0029
-14240,00312,05654,-0024,-0020,-0025
-14248,00331,05643,-0021,-0014,-0024
-14236,00354,05648,-0014,00002,-0019
-14214,00371,05649,-0014,00014,-0015
-14184,00381,05646,-0010,00028,-0014
-14145,00388,05638,-0007,00042,-0012
-14108,00396,05636,-0006,00044,-0009
-14071,00400,05633,-0010,00046,-0007
-14037,00400,05637,-0012,00046,-0005
-14007,00397,05640,-0010,00054,-0007
-13985,00392,05652,-0010,00056,-0005
-13970,00384,05648,-0014,00062,-0001
-13966,00381,05647,-0011,00064,-0002
-13969,00377,05638,-0006,00066,-0003
-13978,00374,05634,-0008,00068,-0002
-14000,00371,05620,-0012,00066,-0006
-14022,00363,05614,-0013,00060,-0007
-14051,00351,05602,-0013,00056,-0009
-14079,00348,05597,-0017,00052,-0011
-14105,00345,05595,-0022,00048,-0009
-14133,00338,05592,-0022,00038,-0014
-14160,00329,05597,-0018,00034,-0017
-14177,00315,05597,-0020,00032,-0017
-14191,00310,05607,-0024,00034,-0019
-14199,00297,05608,-0022,00032,-0019
-14204,00291,05605,-0019,00036,-0021
-14207,00290,05608,-0017,00036,-0025
-14207,00283,05613,-0022,00038,-0022
-14203,00278,05616,-0023,00032,-0023
-14195,00275,05612,-0020,00030,-0023
-14182,00283,05617,-0017,00032,-0027
-14168,00289,05611,-0018,00034,-0024
-14159,00295,05599,-0020,00032,-0023
-14151,00301,05593,-0015,00022,-0025
-14138,00311,05588,-0013,00022,-0026
-14132,00321,05585,-0013,00022,-0024
-14126,00332,05582,-0015,00018,-0023
-14124,00337,05578,-0014,00018,-0022
-14124,00345,05572,-0008,00020,-0020
-14126,00355,05576,-0012,00020,-0019
-14127,00361,05568,-0010,00022,-0018
-14134,00369,05569,-0011,00026,-0021
-14141,00375,05563,-0006,00022,-0018
-14149,00383,05560,-0006,00024,-0018
-14156,00384,05560,-0007,00020,-0020
-14170,00389,05567,-0008,00018,-0020
-14178,00388,05575,-0006,00014,-0020
-14183,00386,05575,-0008,00014,-0023
-14180,00381,05587,-0012,00018,-0020
-14179,00380,05597,-0014,00022,-0019
-14170,00370,05605,-0012,00022,-0022
-14161,00362,05612,-0013,00028,-0022
-14143,00350,05621,-0019,00030,-0021
