-15109,-2172,-389,22,39,-8
-15107,-2181,-372,13,31,-13
-15105,-2196,-348,7,31,-14
-15117,-2213,-328,-2,45,-17
-15138,-2235,-305,-8,49,-17
-15164,-2261,-278,-11,47,-17
-15181,-2277,-266,-11,39,-16
-15196,-2290,-246,-7,19,-18
-15208,-2300,-227,-1,3,-23
-15221,-2301,-215,5,-15,-25
-15236,-2297,-210,14,-25,-27
-15248,-2290,-217,19,-39,-28
-15258,-2278,-228,14,-49,-30
-15261,-2256,-259,7,-49,-27
-15260,-2243,-306,-2,-39,-22
-15251,-2236,-364,-15,-21,-17
-15238,-2227,-421,-26,7,-12
-15227,-2215,-480,-42,33,-10
-15216,-2208,-534,-57,55,-7
-15207,-2194,-578,-68,75,-6
-15195,-2187,-602,-72,93,-1
-15179,-2181,-615,-75,113,-2
-15167,-2173,-621,-77,127,-2
-15154,-2166,-619,-82,133,-4
-15146,-2163,-602,-88,135,-8
-15141,-2165,-572,-90,137,-11
-15143,-2168,-550,-91,137,-12
-15148,-2176,-535,-92,133,-18
-15158,-2187,-507,-88,121,-21
-15173,-2201,-485,-88,113,-21
-15182,-2213,-464,-89,101,-25
-15197,-2225,-453,-86,95,-25
-15211,-2236,-441,-85,85,-26
-15219,-2251,-425,-78,79,-27
-15220,-2264,-412,-75,73,-30
-15229,-2270,-416,-63,69,-30
-15234,-2270,-410,-56,65,-29
-15232,-2275,-410,-51,67,-29
-15230,-2280,-417,-46,67,-25
-15229,-2273,-431,-44,65,-23
-15227,-2262,-449,-39,61,-25
-15226,-2255,-461,-35,55,-23
-15219,-2249,-461,-32,53,-24
-15220,-2241,-466,-31,49,-23
-15215,-2238,-473,-26,45,-23
-15214,-2231,-475,-21,43,-24
-15210,-2223,-473,-20,39,-21
-15205,-2219,-484,-17,35,-22
-15207,-2209,-490,-16,33,-20
-15209,-2207,-493,-16,31,-23
-15214,-2204,-497,-15,31,-20
-15219,-2204,-502,-14,27,-23
-15222,-2204,-504,-11,19,-24
-15225,-2208,-508,-8,15,-22
-15229,-2208,-507,-7,13,-26
-15234,-2210,-495,-7,13,-26
-15238,-2211,-493,-6,11,-22
-15238,-2216,-494,-6,13,-23
-15244,-2213,-491,-4,17,-23
-15249,-2215,-491,-7,17,-24
-15247,-2215,-485,-10,19,-24
-15245,-2216,-487,-11,15,-26
-15242,-2220,-493,-10,15,-26
-15237,-2221,-504,-16,21,-24
-15235,-2220,-517,-20,21,-25
-15231,-2225,-510,-20,29,-24
-15219,-2223,-473,-17,35,-23
-15215,-2222,-420,2,33,-24
-15210,-2214,-355,29,27,-23
-15216,-2208,-387,55,-3,-26
-15209,-2209,-426,22,-35,-25
-15206,-2214,-428,-2,-25,-24
-15215,-2213,-449,-5,-15,-28
-15218,-2214,-475,-3,-11,-29
-15218,-2222,-487,-2,1,-31
-15223,-2225,-495,2,1,-28
-15222,-2231,-504,7,3,-27
-15225,-2229,-503,13,3,-26
-15220,-2224,-496,13,5,-23
-15217,-2224,-491,10,11,-23
-15221,-2221,-486,10,7,-23
-15214,-2216,-481,14,3,-24
-15213,-2207,-485,20,-3,-28
-15214,-2207,-482,32,-7,-29
-15218,-2207,-479,34,-7,-26
-15219,-2203,-488,34,-5,-26
-15217,-2201,-493,29,1,-27
-15215,-2205,-499,28,3,-23
-15209,-2207,-496,26,5,-19
-15201,-2209,-494,25,7,-18
-15193,-2208,-493,28,9,-17
-15181,-2212,-495,24,11,-15
-15173,-2216,-496,21,9,-15
-15166,-2220,-500,17,7,-17
-15165,-2225,-502,11,11,-16
-15161,-2227,-502,6,13,-17
-15156,-2237,-516,2,15,-19
-15157,-2240,-513,-5,17,-23
-15159,-2242,-513,-12,17,-20
-15168,-2249,-507,-18,29,-23
-15170,-2249,-509,-22,29,-24
-15178,-2248,-499,-24,27,-26
-15182,-2251,-493,-29,27,-31
-15197,-2260,-479,-30,27,-30
-15205,-2259,-475,-32,19,-31
-15219,-2263,-448,-29,11,-29
-15222,-2262,-442,-25,7,-29
-15228,-2256,-446,-22,3,-28
-15228,-2254,-449,-20,-3,-27
-15229,-2249,-458,-15,-1,-29
-15235,-2237,-455,-13,1,-27
-15236,-2237,-464,-8,3,-29
-15244,-2230,-473,-6,5,-27
-15244,-2228,-479,-2,5,-26
-15244,-2217,-487,-4,3,-25
-15240,-2215,-484,-3,5,-24
-15234,-2217,-483,-5,5,-24
-15228,-2216,-475,-7,7,-23
-15222,-2212,-478,-8,5,-21
-15208,-2212,-475,-11,5,-22
-15208,-2210,-478,-17,7,-21
-15206,-2206,-474,-15,5,-23
-15204,-2209,-472,-17,5,-23
-15201,-2209,-462,-18,3,-24
-15193,-2215,-470,-20,3,-20
-15187,-2219,-467,-22,3,-24
-15183,-2225,-469,-25,1,-24
-15182,-2234,-470,-26,7,-21
-15183,-2240,-465,-28,9,-25
-15178,-2240,-473,-28,13,-25
-15181,-2246,-466,-29,17,-24
-15180,-2248,-466,-33,25,-26
-15176,-2255,-464,-34,31,-27
-15179,-2265,-460,-31,31,-27
-15184,-2276,-459,-32,31,-29
-15180,-2276,-466,-29,31,-23
-15175,-2278,-475,-29,29,-23
-15173,-2280,-476,-27,27,-23
-15176,-2274,-469,-27,29,-25
-15177,-2270,-459,-28,31,-23
-15176,-2272,-455,-30,35,-23
-15177,-2268,-449,-30,39,-21
-15180,-2267,-448,-32,43,-21
-15185,-2265,-443,-34,45,-19
-15186,-2268,-441,-33,43,-20
-15191,-2266,-436,-35,41,-22
-15188,-2264,-433,-35,39,-25
-15189,-2262,-427,-31,39,-25
-15190,-2251,-427,-36,39,-27
-15191,-2246,-429,-29,37,-24
-15196,-2245,-435,-31,41,-23
-15196,-2239,-439,-31,39,-23
-15196,-2234,-440,-29,41,-21
-15200,-2236,-440,-27,45,-18
-15202,-2231,-441,-24,41,-19
-15203,-2235,-443,-25,41,-19
-15207,-2233,-446,-20,39,-21
-15212,-2232,-442,-16,37,-19
