 x, y, z
01184, 02168, 15944
01152, 02112, 15688
01088, 02192, 15992
01136, 02232, 16048
01104, 02144, 15872
01272, 02152, 15944
01136, 02144, 15888
01176, 02112, 15872
01152, 02104, 15680
01344, 02176, 15888
01160, 01992, 16048
01112, 02080, 15928
01216, 02144, 15792
01144, 02200, 15896
01200, 02000, 15912
01184, 02128, 15928
01136, 02080, 15744
01080, 02168, 15912
01232, 01960, 15808
01128, 02080, 15944
01144, 02168, 15920
01160, 02120, 15944
01176, 02168, 15760
01184, 02200, 15968
01344, 02040, 15984
01016, 02120, 15992
01280, 02064, 15992
01104, 02056, 16000
01232, 02248, 15888
01160, 02168, 15864
01304, 02056, 16048
01272, 02176, 15808
01208, 02056, 15816
01240, 02168, 15944
01136, 02248, 16096
01152, 01976, 16008
01312, 02088, 15960
01192, 02128, 15824
01056, 02040, 15976
01136, 02136, 15776
01160, 02048, 15688
01304, 02008, 16000
01200, 02160, 15864
01176, 02152, 15872
01256, 02176, 15920
01056, 02056, 15824
01176, 02152, 15880
01328, 02088, 16064
01232, 02032, 16000
01152, 02152, 16008
01280, 02080, 15832
01072, 02136, 15872
01128, 02056, 15776
01304, 02080, 15808
01240, 02024, 16024
01368, 02096, 15768
01168, 02120, 16008
01280, 01992, 15872
01168, 02008, 15984
01280, 02248, 16032
01160, 02048, 15784
01224, 02168, 15888
01176, 02096, 15928
01272, 02000, 15920
01216, 02184, 16016
01232, 02152, 15936
01232, 02136, 16008
01152, 02216, 15888
01296, 02056, 15984
01160, 02064, 15848
01256, 02152, 15808
01288, 02168, 15896
01256, 02200, 16232
01200, 02128, 15680
01224, 02064, 16008
01208, 02224, 15880
01272, 02104, 16056
01136, 02168, 16024
01224, 02032, 15760
01264, 02176, 15936
01176, 02104, 15928
01136, 02064, 16032
01192, 02096, 15864
01064, 02160, 15976
01096, 02088, 15808
01232, 02120, 15912
01272, 02048, 15864
01288, 02080, 15944
01088, 02168, 15872
01144, 02240, 15824
01344, 02192, 15696
01176, 02144, 15912
01088, 02112, 15592
01128, 02184, 15816
01160, 02088, 15744
01176, 02096, 16040
01184, 02048, 15832
01240, 02160, 16016
01176, 01920, 16128
01168, 02176, 16056
01048, 02264, 16160
01160, 02192, 15960
01224, 02120, 16024
01096, 02176, 15984
01152, 02224, 15896
01264, 02216, 15768
01240, 02128, 15888
01112, 02128, 16032
01096, 02008, 15760
01072, 02080, 16040
01176, 02200, 15888
01232, 02240, 15904
01176, 02056, 15904
01216, 02176, 16120
01112, 02120, 15832
01192, 02176, 15768
01144, 02064, 15672
01184, 02192, 15624
01264, 02192, 15968
01240, 02160, 15904
01096, 02064, 15880
01200, 02112, 15872
01152, 02192, 16024
01168, 02128, 16008
01224, 02088, 15912
01232, 02168, 15864
01272, 02200, 15960
01048, 02056, 16040
01200, 01920, 15904
01168, 02040, 15840
01152, 02200, 15792
01096, 02152, 15768
01096, 02096, 15688
01272, 02048, 15960
01128, 02016, 15720
01088, 02128, 15784
01208, 02176, 15968
01104, 02144, 15904
01024, 02192, 16024
01232, 02048, 15976
01328, 02080, 15680
01208, 02152, 15816
01208, 02192, 16056
01184, 02128, 15888
00968, 02184, 16024
01240, 02136, 16152
01040, 02144, 15992
01176, 02152, 16032
01168, 02064, 15968
01104, 02240, 16072
00984, 02128, 15944
01176, 02080, 15760
01184, 02168, 16008
01216, 02056, 15808
01216, 02112, 15760
01144, 02096, 16120
01112, 02104, 15768
01336, 02176, 16040
01264, 02080, 16000
01168, 02144, 15896
01168, 02040, 15720
01176, 02176, 15912
01208, 02120, 15872
01136, 02064, 15904
01208, 02000, 15976
01240, 02104, 15760
01224, 02104, 15688
01312, 01960, 15864
01192, 02096, 15904
01200, 02032, 15840
01144, 02112, 15944
01216, 02184, 15904
01072, 02312, 15968
01200, 02048, 15712
01176, 02080, 15928
01328, 02032, 15928
01216, 02224, 15864
01144, 02104, 16016
01136, 02104, 15776
01080, 02128, 15816
01152, 02192, 15920
01184, 01952, 15720
01232, 02152, 15864
01192, 02080, 15856
01224, 02144, 15840
01176, 02232, 15720
01232, 02048, 15808
01088, 02040, 15848
01136, 02168, 16064
01040, 02168, 15872
01224, 02168, 15936
01056, 02024, 15768
01088, 02136, 16072
01096, 02224, 15664
01224, 02104, 15912
01256, 02096, 15912
01232, 02160, 15840
01232, 02016, 15880
01240, 02088, 15880
01224, 02128, 15840
01272, 02048, 16056
01272, 02024, 16040
01176, 02152, 15888
01128, 02032, 15792
01152, 02160, 16016
01256, 02192, 15992
01232, 02144, 15880
01144, 02184, 16168
01272, 02080, 15976
01152, 02120, 15752
01224, 02032, 15912
01040, 02232, 15976
01264, 02120, 15744
01192, 02216, 15904
01184, 02016, 15904
01208, 02104, 15896
01256, 02104, 15960
01216, 01976, 15832
01064, 02128, 15920
01176, 02192, 16144
01160, 02176, 15888
01176, 02264, 16056
01104, 02120, 15992
01168, 02128, 15960
01224, 02008, 15824
01072, 02064, 15736
01192, 02160, 15864
01056, 01992, 15736
01200, 02112, 15880
01208, 02112, 16064
01240, 02112, 15928
01184, 02160, 15848
01104, 02008, 15944
01288, 01952, 15912
01320, 02080, 15984
01104, 02032, 15848
01184, 02120, 16032
01016, 02104, 15784
01104, 02056, 15912
01200, 02112, 15856
01200, 02224, 15928
01176, 02048, 15792
01176, 02032, 16056
01176, 02112, 16056
01320, 02032, 15944
01304, 02064, 15720
01088, 02160, 15600
01208, 02144, 15960
01352, 02152, 15888
01152, 02032, 15832
01152, 02008, 15960
01176, 02016, 15912
01216, 02064, 15816
01208, 02048, 15584
01184, 02168, 15888
01176, 02216, 16016
01176, 02096, 15872
01176, 01952, 15896
01208, 02192, 15960
01144, 02128, 15864
01088, 02160, 16024
01216, 02104, 15968
01208, 02136, 16112
01144, 02032, 16096
01296, 02056, 15888
01096, 02144, 16008
01136, 02048, 15984
01400, 02104, 16136
01176, 02088, 16032
01152, 02064, 15888
01104, 02056, 15824
01184, 02104, 15824
01240, 01984, 15992
01232, 02168, 15816
01208, 02160, 15880
01232, 02176, 15864
01232, 02136, 15656
01136, 02112, 16040
01264, 02184, 16008
01128, 02192, 15944
01200, 02096, 15928
01256, 02176, 16000
01192, 02048, 15976
01272, 02056, 15880
01216, 02120, 15784
01176, 02064, 15928
01128, 02160, 15912
01200, 02192, 15928
01168, 01968, 15840
01232, 02160, 15904
01264, 02240, 15840
01288, 02232, 15904
01072, 02104, 16120
01368, 02160, 15904
01328, 02224, 15944
01264, 02048, 15864
01240, 02000, 15808
01280, 02152, 15840
01280, 02104, 15936
01240, 02248, 15792
01112, 02176, 15808
01152, 01968, 15920
01176, 02128, 16008
01216, 02160, 15888
01240, 02160, 15856
01288, 01976, 15944
01280, 02200, 15968
01192, 02136, 15672
01184, 02168, 16088
01088, 02000, 15960
01224, 02184, 15768
01192, 02024, 16056
00936, 02232, 15880
01264, 02184, 15720
01344, 02008, 15832
01240, 02168, 15904
01088, 02392, 15840
01040, 01936, 15912
01168, 02024, 15896
01128, 02240, 15768
01216, 02120, 15808
01144, 02144, 15848
01136, 02160, 16120
01336, 02016, 15960
01216, 02096, 15864
01080, 02304, 15936
01096, 02088, 15824
01144, 02152, 15696
01184, 01984, 16056
01168, 02160, 16080
01200, 02184, 15808
01200, 01992, 15992
01328, 02240, 16040
01280, 02136, 15768
01144, 02104, 15912
01280, 01976, 15864
01224, 02112, 15912
01152, 02048, 15984
01176, 02056, 15960
01192, 02152, 15768
01224, 02152, 15984
01312, 02120, 15912
01240, 02064, 15976
01128, 02112, 15768
01112, 02224, 16024
01216, 02152, 15848
01104, 02192, 15912
01160, 01952, 15856
01192, 02024, 16096
01264, 02024, 15856
01280, 02192, 15992
01328, 02256, 15744
01144, 02000, 15968
01176, 02144, 15944
01288, 02184, 15968
01280, 02248, 15880
01288, 02056, 15920
01080, 02240, 15872
01168, 02056, 15848
01144, 02056, 15880
01184, 02256, 15896
01208, 02008, 15880
01264, 02064, 15816
01208, 01976, 15752
01192, 02152, 15968
01200, 02264, 15960
01192, 02120, 16016
01312, 02184, 15832
01280, 02128, 16024
01280, 02040, 16152
01104, 02120, 15984
01296, 02056, 15824
01280, 02024, 15928
01216, 02032, 15824
01168, 02184, 15776
01200, 02128, 16080
01144, 02032, 15888
01152, 01992, 15680
01096, 01984, 15720
01288, 02152, 15992
01232, 02176, 16088
01104, 02128, 15672
01200, 02032, 15992
01216, 02016, 15808
01240, 02152, 15992
01256, 02168, 15896
01264, 02224, 15960
01176, 01968, 15896
01256, 02112, 16056
01240, 02160, 16072
01296, 02144, 15928
01288, 02176, 15832
01240, 02112, 16096
01176, 02248, 15872
01280, 02152, 15984
01216, 02112, 16072
01144, 02168, 15888
01176, 02016, 15912
01040, 02160, 15936
01304, 02152, 15736
01136, 02104, 16016
01208, 02104, 15960
01208, 02032, 15896
01184, 02016, 15848
01296, 02088, 15872
01144, 02048, 16064
01096, 02048, 16000
01224, 02032, 15584
01216, 02064, 15968
01224, 02064, 15744
01208, 02088, 15808
01192, 02112, 15872
01104, 02088, 15936
01152, 02088, 16056
01336, 02152, 16192
01264, 02088, 15840
01104, 02176, 15856
01296, 02048, 15824
01192, 02096, 15944
01168, 02120, 16088
01200, 02112, 15912
01144, 02000, 16008
01112, 02200, 15824
01176, 02016, 15832
01216, 02128, 16056
01224, 02232, 15960
01344, 02224, 15864
01200, 02088, 15688
01160, 02008, 15816
01096, 02152, 15888
01160, 02216, 16000
01152, 02136, 15984
01144, 02168, 16152
01200, 02256, 15784
01152, 02064, 15968
01072, 02192, 15984
01104, 02104, 15904
01152, 02240, 15768
01200, 02040, 15888
01368, 02224, 15688
01240, 02136, 16016
01168, 02120, 15776
01112, 02112, 15896
01312, 02032, 15880
01184, 02256, 16048
01072, 02104, 15904
01160, 02160, 16000
01104, 01952, 15768
01128, 02232, 16024
01152, 02200, 15824
01272, 02184, 16096
01104, 02040, 15688
01232, 02104, 15872
01136, 02152, 15888
01216, 02080, 15848
01128, 02016, 15912
01032, 02304, 15840
01208, 02016, 16040
01288, 02232, 15896
01056, 02064, 15840
01280, 02040, 15744
01160, 02080, 15872
01192, 02136, 16024
01256, 02144, 15928
01200, 02176, 15992
01200, 02104, 15904
01104, 02136, 15880
01264, 02112, 15824
