17,00009,-0022
-14113,00495,05558,-0017,00005,-0020
-14123,00503,05562,-0022,00003,-0025
-14130,00514,05569,-0023,-0001,-0028
-14135,00513,05577,-0027,-0005,-0032
-14146,00506,05590,-0027,-0005,-0036
-14160,00505,05597,-0028,-0005,-0038
-14173,00501,05607,-0027,-0007,-0036
-14183,00492,05620,-0027,-0003,-0038
-14188,00489,05628,-0029,-0003,-0036
-14192,00486,05641,-0029,-0005,-0034
-14198,00478,05643,-0027,-0005,-0034
-14198,00472,05638,-0028,-0003,-0034
-14199,00474,05634,-0025,-0005,-0037
-14201,00475,05625,-0024,-0009,-0035
-14202,00480,05615,-0022,-0009,-0032
-14205,00485,05606,-0026,-0009,-0033
-14199,00486,05591,-0025,-0011,-0033
-14196,00492,05585,-0024,-0009,-0033
-14190,00502,05577,-0021,-0011,-0033
-14182,00512,05567,-0023,-0007,-0030
-14173,00518,05559,-0021,-0007,-0030
-14164,00521,05551,-0023,-0005,-0029
-14151,00524,05555,-0026,-0001,-0030
-14141,00523,05553,-0027,00001,-0029
-14131,00520,05551,-0028,00003,-0026
-14121,00518,05554,-0029,00005,-0028
-14108,00519,05551,-0031,00011,-0030
-14103,00514,05547,-0031,00013,-0030
-14095,00513,05551,-0031,00013,-0030
-14084,00506,05545,-0030,00015,-0032
-14080,00499,05539,-0034,00015,-0030
-14079,00490,05545,-0031,00019,-0030
-14076,00482,05542,-0034,00017,-0030
-14072,00473,05541,-0033,00015,-0029
-14068,00466,05538,-0031,00019,-0027
-14071,00455,05534,-0035,00019,-0027
-14071,00452,05532,-0033,00023,-0026
-14078,00448,05537,-0035,00025,-0027
-14082,00442,05544,-0034,00025,-0027
-14089,00438,05540,-0032,00025,-0027
-14100,00437,05538,-0032,00029,-0025
-14111,00438,05544,-0031,00029,-0026
-14114,00439,05547,-0032,00027,-0028
-14122,00435,05547,-0030,00031,-0027
-14135,00434,05543,-0032,00029,-0028
-14142,00439,05540,-0030,00029,-0028
-14149,00440,05541,-0033,00031,-0030
-14155,00442,05541,-0032,00031,-0031
-14165,00442,05541,-0030,00029,-0031
-14169,00440,05549,-0031,00027,-0027
-14175,00448,05554,-0029,00023,-0031
-14179,00447,05549,-0031,00021,-0031
